Item;Smu1_V(1)(1);Smu1_I(1)(1);Smu1_R(1)(1);Smu1_Time(1)(1);
1;1;0,000325959321344271;3067,86743164063;30,1064453125;
2;0,990000009536743;0,000247109070187435;4006,328125;40,177734375;
3;0,980000019073486;0,000202217692276463;4846,2626953125;50,248046875;
4;0,970000028610229;0,000171106628840789;5668,97998046875;60,3173828125;
5;0,959999978542328;0,000148873135913163;6448,443359375;70,384765625;
6;0,949999988079071;0,000129940832266584;7311,01953125;80,455078125;
7;0,939999997615814;0,000114759131975006;8191,0693359375;90,5244140625;
8;0,930000007152557;0,000101873745734338;9128,947265625;100,5927734375;
9;0,920000016689301;8,9389068307355E-05;10292,0869140625;120,7119140625;
10;0,910000026226044;7,96143140178174E-05;11430,10546875;130,78125;
11;0,899999976158142;7,1259870310314E-05;12629,8291015625;140,8505859375;
12;0,889999985694885;6,40280632069334E-05;13900,154296875;150,919921875;
13;0,879999995231628;5,76179008930922E-05;15273,03125;160,990234375;
14;0,870000004768372;5,19566601724364E-05;16744,724609375;171,05859375;
15;0,860000014305115;4,68719590571709E-05;18347,857421875;181,1279296875;
16;0,850000023841858;4,23313358624E-05;20079,6875;191,1962890625;
17;0,839999973773956;3,82724319933914E-05;21947,912109375;201,263671875;
18;0,829999983310699;3,4600067010615E-05;23988,392578125;211,3349609375;
19;0,819999992847443;3,12941119773313E-05;26203,01171875;221,404296875;
20;0,810000002384186;2,83008648693794E-05;28621,033203125;231,4736328125;
21;0,800000011920929;2,55992836173391E-05;31250,875;241,54296875;
22;0,790000021457672;2,31594403885538E-05;34111,359375;251,61328125;
23;0,779999971389771;2,09342342714081E-05;37259,54296875;261,6826171875;
24;0,769999980926514;1,8922966773971E-05;40691,29296875;271,75;
25;0,759999990463257;1,71372030308703E-05;44347,9609375;281,8203125;
26;0,75;1,54626213770825E-05;48504,06640625;291,8896484375;
27;0,740000009536743;1,39572621264961E-05;53018,99609375;301,9580078125;
28;0,730000019073486;1,25829319586046E-05;58015,09765625;312,029296875;
29;0,720000028610229;1,13411015263409E-05;63485,8984375;322,0986328125;
30;0,709999978542328;1,02037547549116E-05;69582,2265625;332,16796875;
31;0,699999988079071;9,91064462141367E-06;70631,125;352,28515625;
32;0,689999997615814;8,43891211843584E-06;81764,09375;362,349609375;
33;0,680000007152557;7,38473681849428E-06;92081,8203125;372,4130859375;
34;0,670000016689301;6,50858873996185E-06;102940,90625;382,474609375;
35;0,660000026226044;5,72576664126245E-06;115268,4140625;392,5361328125;
36;0,649999976158142;5,01775048178388E-06;129540,1171875;402,5986328125;
37;0,639999985694885;4,3614954847726E-06;146738,65625;412,66015625;
38;0,629999995231628;3,76192951989651E-06;167467,25;422,7216796875;
39;0,620000004768372;3,23152858072717E-06;191859,671875;432,78125;
40;0,610000014305115;2,73250770987943E-06;223238,171875;442,8408203125;
41;0,600000023841858;2,27551413445326E-06;263676,6875;452,8994140625;
42;0,589999973773956;1,86143063274358E-06;316960,5;462,9580078125;
43;0,579999983310699;1,45778540172614E-06;397863,75;473,0146484375;
44;0,569999992847443;1,09891993815836E-06;518691,09375;483,0732421875;
45;0,560000002384186;2,48217429543729E-06;225608,65625;523,3037109375;
46;0,550000011920929;1,33931382606534E-06;410658,0625;533,3623046875;
47;0,540000021457672;2,15865475183818E-06;250155,8125;573,58984375;
48;0,529999971389771;1,01461932899838E-06;522363,375;583,646484375;
49;0,519999980926514;1,7907926803673E-06;290374,1875;623,8671875;
50;0,509999990463257;1,7228179558515E-06;296026,625;664,091796875;
51;0,5;1,61381365160196E-06;309825,125;704,3115234375;
52;0,490000009536743;1,47832497532363E-06;331456,21875;744,5283203125;
53;0,479999989271164;1,34170238652587E-06;357754,4375;784,7353515625;
54;0,469999998807907;9,29338170863048E-07;505736,25;804,8427734375;
55;0,46000000834465;8,14173176877375E-07;564990,375;834,990234375;
56;0,449999988079071;5,46756723451836E-07;823035,125;855,0966796875;
57;0,439999997615814;4,96335928801273E-07;886496,375;885,244140625;
58;0,430000007152557;2,63172267978007E-07;1633910,75;905,3515625;
59;0,419999986886978;2,43222132212395E-07;1726816,5;935,498046875;
60;0,409999996423721;1,88821207558476E-08;21713662;955,6044921875;
61;0,400000005960464;2,13983923913474E-08;18692994;985,751953125;
62;0,389999985694885;-1,08121059838595E-06;-360706,78125;995,8076171875;
63;0,379999995231628;-1,59981050273927E-06;-237528,125;1005,86328125;
64;0,370000004768372;-1,99454575522395E-06;-185505,90625;1015,91796875;
65;0,360000014305115;-2,32436059377505E-06;-154881,3125;1025,9716796875;
66;0,349999994039536;-2,62523008132121E-06;-133321,640625;1036,0244140625;
67;0,340000003576279;-2,94827350444393E-06;-115321,734375;1046,078125;
68;0,330000013113022;-3,24188044942275E-06;-101792,7734375;1056,1298828125;
69;0,319999992847443;-3,60176250069344E-06;-88845,390625;1066,1806640625;
70;0,310000002384186;-3,9677752283751E-06;-78129,4296875;1076,232421875;
71;0,300000011920929;-4,31203125117463E-06;-69572,78125;1086,283203125;
72;0,28999999165535;-4,79414120491128E-06;-60490,5;1096,3349609375;
73;0,280000001192093;-5,25223231306882E-06;-53310,6640625;1106,384765625;
74;0,270000010728836;-5,99556278757518E-06;-45033,3046875;1116,4365234375;
75;0,259999990463257;-7,04687863617437E-06;-36895,765625;1126,486328125;
76;0,25;-8,38283995108213E-06;-29822,828125;1136,53515625;
77;0,239999994635582;-2,01413376998971E-06;-119157,921875;1166,6826171875;
78;0,230000004172325;-1,97108306565497E-06;-116687,1171875;1186,8017578125;
79;0,219999998807907;-3,65683627023827E-06;-60161,29296875;1196,853515625;
80;0,209999993443489;-4,80180324302637E-06;-43733,5703125;1206,904296875;
81;0,200000002980232;-5,8171035561827E-06;-34381,37109375;1216,955078125;
82;0,189999997615814;-7,47389776734053E-06;-25421,80859375;1227,00390625;
83;0,180000007152557;-1,04993387139984E-05;-17143,9375;1237,0517578125;
84;0,170000001788139;-2,43095132645976E-06;-69931,46875;1267,19921875;
85;0,159999996423721;-2,40010786001221E-06;-66663,671875;1287,3173828125;
86;0,150000005960464;-4,17540195485344E-06;-35924,6875;1297,3701171875;
87;0,140000000596046;-5,73113857171847E-06;-24427,95703125;1307,419921875;
88;0,129999995231628;-8,07491414889228E-06;-16099,2421875;1317,470703125;
89;0,119999997317791;-2,6468992473383E-06;-45336,06640625;1347,619140625;
90;0,109999999403954;-2,63838842329278E-06;-41692,1171875;1367,73828125;
91;0,100000001490116;-4,54203473054804E-06;-22016,564453125;1377,7900390625;
92;0,0900000035762787;-6,68008215143345E-06;-13472,888671875;1387,8388671875;
93;0,0799999982118607;-2,77159938377736E-06;-28864,19921875;1417,9873046875;
94;0,0700000002980232;-2,80218296211388E-06;-24980,525390625;1438,10546875;
95;0,0599999986588955;-4,98661756864749E-06;-12032,2041015625;1448,1572265625;
96;0,0500000007450581;-7,9886922321748E-06;-6258,8466796875;1458,2060546875;
97;0,0399999991059303;-2,99609450848948E-06;-13350,7138671875;1488,3544921875;
98;0,0299999993294477;-3,02707053378981E-06;-9910,5712890625;1508,4755859375;
99;0,0199999995529652;-5,42566704098135E-06;-3686,1826171875;1518,525390625;
100;0,00999999977648258;-3,03054048345075E-06;-3299,74145507813;1548,673828125;
101;0;-3,0900844194548E-06;0;1568,791015625;
102;-0,00999999977648258;-5,65191476198379E-06;1769,31188964844;1578,8427734375;
103;-0,0199999995529652;-3,13090754389123E-06;6387,923828125;1608,990234375;
104;-0,0299999993294477;-3,20112826557306E-06;9371,6953125;1629,1083984375;
105;-0,0399999991059303;-5,64046013096231E-06;7091,61962890625;1639,158203125;
106;-0,0500000007450581;-3,2671675853635E-06;15303,7763671875;1669,306640625;
107;-0,0599999986588955;-3,34135665980284E-06;17956,77734375;1689,4248046875;
108;-0,0700000002980232;-5,90613035456045E-06;11852,091796875;1699,4765625;
109;-0,0799999982118607;-3,4184113246738E-06;23402,68359375;1729,6240234375;
110;-0,0900000035762787;-3,50502796209184E-06;25677,400390625;1749,7431640625;
111;-0,100000001490116;-6,3781358221604E-06;15678,5625;1759,7939453125;
112;-0,109999999403954;-3,5776938602794E-06;30746,0625;1789,9423828125;
113;-0,119999997317791;-3,66323979505978E-06;32757,88671875;1810,060546875;
114;-0,129999995231628;-7,07160779711558E-06;18383,37109375;1820,109375;
115;-0,140000000596046;-3,7436846014316E-06;37396,3125;1850,2587890625;
116;-0,150000005960464;-3,84982376999687E-06;38962,82421875;1870,376953125;
117;-0,159999996423721;-8,45434442453552E-06;18925,181640625;1880,4248046875;
118;-0,170000001788139;-3,9428396121366E-06;43116,1328125;1910,572265625;
119;-0,180000007152557;-4,05693481297931E-06;44368,47265625;1930,689453125;
120;-0,189999997615814;-3,8638677324343E-06;49173,52734375;1960,8369140625;
121;-0,200000002980232;-4,03436160922865E-06;49574,140625;1980,9560546875;
122;-0,209999993443489;-3,8855414459249E-06;54046,51953125;2011,1044921875;
123;-0,219999998807907;-4,07114657718921E-06;54038,83203125;2031,22265625;
124;-0,230000004172325;-3,96055656892713E-06;58072,6484375;2061,37109375;
125;-0,239999994635582;-4,14052374253515E-06;57963,6796875;2081,490234375;
126;-0,25;-4,02743671656935E-06;62074,22265625;2111,638671875;
127;-0,259999990463257;-4,22790117227123E-06;61496,23046875;2131,7548828125;
128;-0,270000010728836;-4,13509087593411E-06;65294,8203125;2161,9033203125;
129;-0,280000001192093;-4,33482091466431E-06;64593,2109375;2182,021484375;
130;-0,28999999165535;-4,24030849899282E-06;68391,25;2212,1689453125;
131;-0,300000011920929;-4,46272088083788E-06;67223,5625;2232,2890625;
132;-0,310000002384186;-4,35318725067191E-06;71212,1875;2262,4365234375;
133;-0,319999992847443;-4,58210706710815E-06;69836,8671875;2282,5546875;
134;-0,330000013113022;-4,47886077381554E-06;73679,453125;2312,701171875;
135;-0,340000003576279;-4,72119063488208E-06;72015,734375;2332,8193359375;
136;-0,349999994039536;-4,62970456283074E-06;75598,7734375;2362,96875;
137;-0,360000014305115;-4,87407078253455E-06;73860,234375;2383,0859375;
138;-0,370000004768372;-4,80994276585989E-06;76923,9921875;2413,234375;
139;-0,379999995231628;-5,05074558532215E-06;75236,4140625;2433,353515625;
140;-0,389999985694885;-4,99652651342331E-06;78054,21875;2463,501953125;
141;-0,400000005960464;-5,25142377227894E-06;76169,8203125;2483,6201171875;
142;-0,409999996423721;-5,19797913511866E-06;78876,8046875;2513,7685546875;
143;-0,419999986886978;-5,47088848179556E-06;76769,9765625;2533,88671875;
144;-0,430000007152557;-5,44331123819575E-06;78996,0390625;2564,0341796875;
145;-0,439999997615814;-5,75057265450596E-06;76514,1171875;2584,15234375;
146;-0,449999988079071;-5,72030194234685E-06;78667,171875;2614,30078125;
147;-0,46000000834465;-6,03040871283156E-06;76280,0703125;2634,419921875;
148;-0,469999998807907;-6,01756346441107E-06;78104,703125;2664,568359375;
149;-0,479999989271164;-6,37171797279734E-06;75332,8984375;2684,6865234375;
150;-0,490000009536743;-6,38900110061513E-06;76694,3046875;2714,8349609375;
151;-0,5;-6,76067475069431E-06;73957,1171875;2734,953125;
152;-0,509999990463257;-6,82175004840246E-06;74760,875;2765,1015625;
153;-0,519999980926514;-7,23462380847195E-06;71876,578125;2785,2197265625;
154;-0,529999971389771;-7,32165381123195E-06;72388,015625;2815,3671875;
155;-0,540000021457672;-7,77364311943529E-06;69465,5;2835,4853515625;
156;-0,550000011920929;-7,93001890997402E-06;69356,7109375;2865,6328125;
157;-0,560000002384186;-8,43259385874262E-06;66408,984375;2885,7509765625;
158;-0,569999992847443;-8,65337733557681E-06;65870,234375;2915,8984375;
159;-0,579999983310699;-9,22425442695385E-06;62877,70703125;2936,0166015625;
160;-0,589999973773956;-9,51872607402038E-06;61983,08203125;2966,1650390625;
161;-0,600000023841858;-1,08770727820229E-05;55161,90234375;2976,232421875;
162;-0,610000014305115;-1,20399990919395E-05;50664,45703125;2986,3017578125;
163;-0,620000004768372;-1,32008581203991E-05;46966,64453125;2996,373046875;
164;-0,629999995231628;-1,4378912965185E-05;43814,16015625;3006,44140625;
165;-0,639999985694885;-1,55696980073117E-05;41105,484375;3016,5107421875;
166;-0,649999976158142;-1,68419883266324E-05;38594,015625;3026,5791015625;
167;-0,660000026226044;-1,81508257810492E-05;36361,984375;3036,6484375;
168;-0,670000016689301;-1,95229204109637E-05;34318,63671875;3046,716796875;
169;-0,680000007152557;-2,09548616112443E-05;32450,703125;3056,78515625;
170;-0,689999997615814;-2,24775139940903E-05;30697,345703125;3066,85546875;
171;-0,699999988079071;-2,40718727582134E-05;29079,58203125;3076,92578125;
172;-0,709999978542328;-2,57596311712405E-05;27562,505859375;3086,994140625;
173;-0,720000028610229;-2,7529320504982E-05;26153,93359375;3097,064453125;
174;-0,730000019073486;-2,93874545604922E-05;24840,533203125;3107,1328125;
175;-0,740000009536743;-3,13797536364291E-05;23582,083984375;3117,2041015625;
176;-0,75;-3,34583419316914E-05;22415,93359375;3127,271484375;
177;-0,759999990463257;-3,56281925633084E-05;21331,421875;3137,341796875;
178;-0,769999980926514;-3,79276680178009E-05;20301,80078125;3147,4111328125;
179;-0,779999971389771;-4,03513695346192E-05;19330,197265625;3157,4794921875;
180;-0,790000021457672;-4,28430394094903E-05;18439,40234375;3167,5478515625;
181;-0,800000011920929;-4,54603832622524E-05;17597,740234375;3177,6162109375;
182;-0,810000002384186;-4,814721251023E-05;16823,404296875;3187,685546875;
183;-0,819999992847443;-5,09097553731408E-05;16106,9326171875;3197,7548828125;
184;-0,829999983310699;-5,37594933120999E-05;15439,1337890625;3207,8212890625;
185;-0,839999973773956;-5,66867529414594E-05;14818,2763671875;3217,8896484375;
186;-0,850000023841858;-5,96658537688199E-05;14246,0048828125;3227,95703125;
187;-0,860000014305115;-6,27995759714395E-05;13694,3603515625;3238,0244140625;
188;-0,870000004768372;-6,59986108075827E-05;13182,095703125;3248,0927734375;
189;-0,879999995231628;-6,93013571435586E-05;12698,1640625;3258,158203125;
190;-0,889999985694885;-7,27047518012114E-05;12241,2900390625;3268,224609375;
191;-0,899999976158142;-7,6190241088625E-05;11812,5361328125;3278,2919921875;
192;-0,910000026226044;-7,97450848040171E-05;11411,3623046875;3288,3583984375;
193;-0,920000016689301;-8,34101083455607E-05;11029,8388671875;3298,421875;
194;-0,930000007152557;-8,71953307068907E-05;10665,708984375;3308,4853515625;
195;-0,939999997615814;-9,10407179617323E-05;10325,05078125;3318,5458984375;
196;-0,949999988079071;-9,51610491028987E-05;9983,076171875;3328,603515625;
197;-0,959999978542328;-0,000100302437203936;9571,0537109375;3338,65625;
198;-0,970000028610229;-9,20386883080937E-05;10539,046875;3368,8037109375;
199;-0,980000019073486;-9,25137283047661E-05;10593,0224609375;3388,9228515625;
200;-0,990000009536743;-9,89647596725263E-05;10003,560546875;3398,9765625;
201;-1;-9,45549618336372E-05;10575,859375;3429,1240234375;
