Item;Smu1_V(1)(1);Smu1_I(1)(1);Smu1_R(1)(1);Smu1_Time(1)(1);
1;-1;-0,000278765306575224;3587,2470703125;30,1064453125;
2;-0,990000009536743;-0,000213634761166759;4634,0771484375;40,17578125;
3;-0,980000019073486;-0,000173268665093929;5655,95654296875;50,24609375;
4;-0,970000028610229;-0,000144880308653228;6695,18212890625;60,31640625;
5;-0,959999978542328;-0,000123504913062789;7772,9697265625;70,3857421875;
6;-0,949999988079071;-0,000106745683297049;8899,6572265625;80,455078125;
7;-0,939999997615814;-8,99165679584257E-05;10454,1357421875;100,57421875;
8;-0,930000007152557;-7,86136151873507E-05;11830,01171875;110,642578125;
9;-0,920000016689301;-6,94538830430247E-05;13246,2001953125;120,7099609375;
10;-0,910000026226044;-6,17210098425858E-05;14743,7646484375;130,7783203125;
11;-0,899999976158142;-5,51149314560462E-05;16329,5126953125;140,84765625;
12;-0,889999985694885;-4,93440602440387E-05;18036,619140625;150,916015625;
13;-0,879999995231628;-4,43180033471435E-05;19856,490234375;160,986328125;
14;-0,870000004768372;-3,9906648453325E-05;21800,87890625;171,0576171875;
15;-0,860000014305115;-3,60089579771739E-05;23882,947265625;181,126953125;
16;-0,850000023841858;-3,2559775718255E-05;26105,83203125;191,1953125;
17;-0,839999973773956;-2,95103909593308E-05;28464,548828125;201,2646484375;
18;-0,829999983310699;-2,6765548682306E-05;31010,01171875;211,3330078125;
19;-0,819999992847443;-2,43378872255562E-05;33692,32421875;221,4033203125;
20;-0,810000002384186;-2,21520349441562E-05;36565,48828125;231,47265625;
21;-0,800000011920929;-2,01699040189851E-05;39663,0546875;241,541015625;
22;-0,790000021457672;-1,84102173079737E-05;42910,95703125;251,609375;
23;-0,779999971389771;-1,68287006090395E-05;46349,38671875;261,6787109375;
24;-0,769999980926514;-1,53928176587215E-05;50023,328125;271,748046875;
25;-0,759999990463257;-1,40856864163652E-05;53955,48046875;281,81640625;
26;-0,75;-1,29081481645699E-05;58102,8359375;291,884765625;
27;-0,740000009536743;-1,18389853014378E-05;62505,359375;301,953125;
28;-0,730000019073486;-1,08516815089388E-05;67270,6796875;312,0205078125;
29;-0,720000028610229;-1,06980814962299E-05;67301,7890625;352,2412109375;
30;-0,709999978542328;-9,74396152741974E-06;72865,640625;372,359375;
31;-0,699999988079071;-8,47114097268786E-06;82633,4921875;382,423828125;
32;-0,689999997615814;-7,59994190957514E-06;90790,1640625;392,48828125;
33;-0,680000007152557;-6,86633347868337E-06;99033,9296875;402,5498046875;
34;-0,670000016689301;-6,21944354861625E-06;107726,6796875;412,611328125;
35;-0,660000026226044;-5,64187757845502E-06;116982,3359375;422,6748046875;
36;-0,649999976158142;-5,09917799718096E-06;127471,5234375;432,7373046875;
37;-0,639999985694885;-4,59925104223657E-06;139153,09375;442,798828125;
38;-0,629999995231628;-4,14428404837963E-06;152016,609375;452,861328125;
39;-0,620000004768372;-3,72458157471556E-06;166461,65625;462,9228515625;
40;-0,610000014305115;-3,32415129378205E-06;183505,484375;472,9833984375;
41;-0,600000023841858;-2,95213794743177E-06;203242,546875;483,044921875;
42;-0,589999973773956;-2,59908301813994E-06;227003,125;493,107421875;
43;-0,579999983310699;-2,26685824600281E-06;255860,71875;503,1689453125;
44;-0,569999992847443;-1,96381256500899E-06;290251,71875;513,23046875;
45;-0,560000002384186;-1,66825134328974E-06;335680,84375;523,291015625;
46;-0,550000011920929;-1,39340511395858E-06;394716,53125;533,3505859375;
47;-0,540000021457672;-1,12711086330819E-06;479101,0625;543,4111328125;
48;-0,529999971389771;-2,22425228457723E-06;238282,3125;583,642578125;
49;-0,519999980926514;-1,35083746499731E-06;384946,375;593,7001953125;
50;-0,509999990463257;-1,98179532162612E-06;257342,421875;633,93359375;
51;-0,5;-1,11042561456998E-06;450277,8125;643,9931640625;
52;-0,490000009536743;-1,67064945344464E-06;293299,125;684,216796875;
53;-0,479999989271164;-1,61520904384815E-06;297175,15625;724,4462890625;
54;-0,469999998807907;-1,51295682826458E-06;310649,96875;764,677734375;
55;-0,46000000834465;-1,40018437377876E-06;328528,15625;804,8974609375;
56;-0,449999988079071;-1,35226457587123E-06;332775,09375;845,10546875;
57;-0,439999997615814;-9,58407326834276E-07;459095;865,21484375;
58;-0,430000007152557;-8,27589076379809E-07;519581,53125;895,36328125;
59;-0,419999986886978;-6,10152483204729E-07;688352,5;915,470703125;
60;-0,409999996423721;-5,58668830308307E-07;733887,375;945,619140625;
61;-0,400000005960464;-3,59129018079329E-07;1113805,875;965,7265625;
62;-0,389999985694885;-3,28452244957589E-07;1187387,125;995,8740234375;
63;-0,379999995231628;-1,60874890298146E-07;2362084;1015,982421875;
64;-0,370000004768372;-1,58656490611975E-07;2332082,25;1046,1279296875;
65;-0,360000014305115;3,57826124286476E-08;-10060753;1066,236328125;
